Strategy,Date,Price,Amount Invested,Units,Current Value,Running Total Investment,Running Corpus Value,Index,Year
SIP,2016-10-30,8433.75,10000,1.1857121683711278,1912.9094412331403,100000,19831.579239282077,Nifty,2016
SIP,2016-11-27,8086.8,10000,1.2365830736508878,1994.9794727209774,110000,21826.558712003054,Nifty,2016
SIP,2016-12-25,8185.8,10000,1.2216276967431405,1970.8519631557085,120000,23797.410675158764,Nifty,2016
DEC_FILL,2017-12-03,10265.65,10000,0.974122437449163,1571.5517283367346,20000,3232.8978584187053,Nifty,2017
DEC_FILL,2017-12-03,10265.65,10000,0.974122437449163,1571.5517283367346,30000,4804.44958675544,Nifty,2017
DEC_FILL,2017-12-03,10265.65,10000,0.974122437449163,1571.5517283367346,40000,6376.001315092174,Nifty,2017
DEC_FILL,2017-12-03,10265.65,10000,0.974122437449163,1571.5517283367346,50000,7947.5530434289085,Nifty,2017
DEC_FILL,2017-12-03,10265.65,10000,0.974122437449163,1571.5517283367346,60000,9519.104771765642,Nifty,2017
DEC_FILL,2017-12-03,10265.65,10000,0.974122437449163,1571.5517283367346,70000,11090.656500102377,Nifty,2017
DEC_FILL,2017-12-03,10265.65,10000,0.974122437449163,1571.5517283367346,80000,12662.20822843911,Nifty,2017
DEC_FILL,2017-12-03,10265.65,10000,0.974122437449163,1571.5517283367346,90000,14233.759956775844,Nifty,2017
DEC_FILL,2017-12-03,10265.65,10000,0.974122437449163,1571.5517283367346,100000,15805.311685112578,Nifty,2017
DEC_FILL,2017-12-03,10265.65,10000,0.974122437449163,1571.5517283367346,110000,17376.86341344931,Nifty,2017
DEC_FILL,2017-12-03,10265.65,10000,0.974122437449163,1571.5517283367346,120000,18948.415141786045,Nifty,2017
DIP,2017-08-06,9710.8,10000,1.0297812744573054,1661.3461300819708,10000,1661.3461300819708,Nifty,2017
SIP,2017-01-29,8740.95,10000,1.144040407507193,1845.6803894313546,10000,1845.6803894313546,Nifty,2017
SIP,2017-02-26,8897.55,10000,1.123904895167771,1813.195767374165,20000,3658.8761568055197,Nifty,2017
SIP,2017-03-26,9173.75,10000,1.0900667665894537,1758.6047145387656,30000,5417.480871344285,Nifty,2017
SIP,2017-04-30,9285.3,10000,1.076971126404101,1737.4775182277363,40000,7154.958389572021,Nifty,2017
SIP,2017-05-28,9653.5,10000,1.0358937173046046,1671.2073341275184,50000,8826.16572369954,Nifty,2017
SIP,2017-06-25,9520.9,10000,1.0503208730267097,1694.4826644539908,60000,10520.64838815353,Nifty,2017
SIP,2017-07-30,10066.4,10000,0.9934037987761265,1602.6583485655249,70000,12123.306736719056,Nifty,2017
SIP,2017-08-27,9974.4,10000,1.002566570420276,1617.4406480590312,80000,13740.747384778088,Nifty,2017
SIP,2017-09-24,9788.6,10000,1.0215965510900435,1648.1417158735671,90000,15388.889100651655,Nifty,2017
SIP,2017-10-29,10452.5,10000,0.9567089213106912,1543.458502750538,100000,16932.34760340219,Nifty,2017
SIP,2017-11-26,10121.8,10000,0.9879665672113657,1593.886462882096,110000,18526.234066284287,Nifty,2017
SIP,2017-12-31,10558.85,10000,0.9470728346363477,1527.9126041188197,120000,20054.146670403108,Nifty,2017
DEC_FILL,2018-12-02,10693.7,10000,0.9351300298306479,1508.645277125784,30000,4520.2601891987215,Nifty,2018
DEC_FILL,2018-12-02,10693.7,10000,0.9351300298306479,1508.645277125784,40000,6028.905466324505,Nifty,2018
DEC_FILL,2018-12-02,10693.7,10000,0.9351300298306479,1508.645277125784,50000,7537.55074345029,Nifty,2018
DEC_FILL,2018-12-02,10693.7,10000,0.9351300298306479,1508.645277125784,60000,9046.196020576073,Nifty,2018
