"Date","Price","Open","High","Low","Vol.","Change %"
"21-04-2013","6,275.12","6,275.12","6,275.12","6,275.12","199.45K","0.92%"
"14-04-2013","6,218.15","6,218.15","6,218.15","6,218.15","201.99K","1.94%"
"07-04-2013","6,099.64","6,099.64","6,099.64","6,099.64","276.44K","-0.73%"
"31-03-2013","6,144.36","6,144.36","6,144.36","6,144.36","184.92K","0.04%"
"24-03-2013","6,142.06","6,142.06","6,142.06","6,142.06","371.35K","1.02%"
"17-03-2013","6,079.79","6,079.79","6,079.79","6,079.79","316.98K","-4.80%"
"10-03-2013","6,386.13","6,386.13","6,386.13","6,386.13","368.86K","-1.56%"
"03-03-2013","6,487.15","6,487.15","6,487.15","6,487.15","596.40K","2.63%"
"24-02-2013","6,320.95","6,320.95","6,320.95","6,320.95","302.30K","-4.36%"
"17-02-2013","6,609.03","6,609.03","6,609.03","6,609.03","388.65K","-0.27%"
"10-02-2013","6,626.86","6,626.86","6,626.86","6,626.86","358.18K","-1.91%"
"03-02-2013","6,756.01","6,756.01","6,756.01","6,756.01","404.75K","-3.04%"
"27-01-2013","6,967.50","6,967.50","6,967.50","6,967.50","464.48K","-0.10%"
"20-01-2013","6,974.23","6,974.23","6,974.23","6,974.23","357.93K","-2.67%"
"13-01-2013","7,165.46","7,165.46","7,165.46","7,165.46","458.60K","0.12%"
"06-01-2013","7,156.88","7,156.88","7,156.88","7,156.88","429.86K","-2.15%"
"30-12-2012","7,314.12","7,314.12","7,314.12","7,314.12","257.72K","3.12%"
"23-12-2012","7,092.94","7,092.94","7,092.94","7,092.94","370.57K","1.36%"
"16-12-2012","6,997.72","6,997.72","6,997.72","6,997.72","377.40K","-0.02%"
"09-12-2012","6,999.05","6,999.05","6,999.05","6,999.05","466.64K","-1.01%"
"02-12-2012","7,070.37","7,070.37","7,070.37","7,070.37","445.12K","2.44%"
"25-11-2012","6,901.99","6,901.99","6,901.99","6,901.99","262.67K","4.62%"
"18-11-2012","6,597.42","6,597.42","6,597.42","6,597.42","210.81K","-0.91%"
"11-11-2012","6,658.33","6,658.33","6,658.33","6,658.33","281.42K","-0.04%"
"04-11-2012","6,660.68","6,660.68","6,660.68","6,660.68","267.71K","0.23%"
"28-10-2012","6,645.45","6,645.45","6,645.45","6,645.45","236.82K","0.64%"
"21-10-2012","6,603.15","6,603.15","6,603.15","6,603.15","297.13K","-1.03%"
"14-10-2012","6,671.62","6,671.62","6,671.62","6,671.62","362.49K","-0.08%"
"07-10-2012","6,676.85","6,676.85","6,676.85","6,676.85","322.47K","-0.03%"
"30-09-2012","6,678.77","6,678.77","6,678.77","6,678.77","429.44K","1.08%"
"23-09-2012","6,607.29","6,607.29","6,607.29","6,607.29","304.90K","2.72%"
"16-09-2012","6,432.43","6,432.43","6,432.43","6,432.43","225.39K","3.00%"
"09-09-2012","6,244.90","6,244.90","6,244.90","6,244.90","212.85K","2.18%"
"02-09-2012","6,111.43","6,111.43","6,111.43","6,111.43","272.18K","1.77%"
"26-08-2012","6,005.02","6,005.02","6,005.02","6,005.02","202.38K","-1.87%"
"19-08-2012","6,119.21","6,119.21","6,119.21","6,119.21","191.69K","-0.63%"
"12-08-2012","6,157.96","6,157.96","6,157.96","6,157.96","238.22K","0.96%"
"05-08-2012","6,099.61","6,099.61","6,099.61","6,099.61","228.24K","0.45%"
"29-07-2012","6,072.53","6,072.53","6,072.53","6,072.53","289.21K","3.14%"
"22-07-2012","5,887.50","5,887.50","5,887.50","5,887.50","201.91K","-4.80%"
"15-07-2012","6,184.10","6,184.10","6,184.10","6,184.10","252.87K","-1.02%"
"08-07-2012","6,247.89","6,247.89","6,247.89","6,247.89","365.51K","-1.05%"
