"Date","Price","Open","High","Low","Vol.","Change %"
"30-12-2018","27,719.50","28,161.30","28,261.00","27,533.90","726.62M","-1.22%"
"23-12-2018","28,063.20","28,001.05","28,123.65","27,137.90","644.68M","0.16%"
"16-12-2018","28,017.35","27,900.45","28,639.30","27,837.70","796.89M","0.73%"
"09-12-2018","27,814.05","26,473.30","27,940.25","26,083.55","810.53M","3.34%"
"02-12-2018","26,915.65","27,720.15","27,773.40","26,724.80","845.22M","-2.46%"
"25-11-2018","27,593.70","27,287.70","27,604.80","27,010.05","1.06B","1.49%"
"18-11-2018","27,187.45","27,483.70","27,539.30","27,120.75","716.85M","-0.63%"
"11-11-2018","27,359.35","27,443.05","27,519.50","26,736.60","965.37M","-0.03%"
"04-11-2018","27,367.45","27,120.55","27,410.90","26,925.05","416.22M","0.86%"
"28-10-2018","27,134.90","25,459.45","27,370.00","25,290.25","1.01B","6.96%"
"21-10-2018","25,369.25","26,270.35","26,316.65","25,040.45","889.51M","-2.63%"
"14-10-2018","26,053.90","26,476.90","27,173.45","25,887.55","617.39M","-1.23%"
"07-10-2018","26,378.40","25,857.95","26,471.70","25,102.80","966.56M","1.83%"
"30-09-2018","25,903.25","27,231.40","27,379.65","25,767.95","867.95M","-5.07%"
"23-09-2018","27,286.50","28,742.70","28,751.05","26,982.80","1.31B","-4.70%"
"16-09-2018","28,632.00","29,901.90","29,920.45","27,226.50","1.14B","-4.63%"
"09-09-2018","30,022.25","30,403.70","30,505.80","29,094.45","873.85M","-1.38%"
"02-09-2018","30,442.70","31,431.70","31,436.75","29,519.75","1.26B","-2.59%"
"26-08-2018","31,251.70","30,662.35","31,371.85","30,650.80","1.17B","2.31%"
"19-08-2018","30,547.15","30,072.65","30,642.45","30,062.75","751.04M","2.03%"
"12-08-2018","29,940.70","29,711.35","29,959.25","29,454.25","637.70M","0.24%"
"05-08-2018","29,867.75","29,994.50","30,140.30","29,778.95","1.15B","-0.12%"
"29-07-2018","29,903.85","29,367.35","30,004.85","29,243.70","1.35B","2.21%"
"22-07-2018","29,258.45","27,699.75","29,326.90","27,691.45","1.37B","6.03%"
"15-07-2018","27,593.65","28,274.20","28,275.65","27,340.80","1.16B","-2.27%"
"08-07-2018","28,234.85","28,318.20","28,690.45","28,191.90","754.41M","0.31%"
"01-07-2018","28,148.05","28,355.15","28,370.85","27,885.50","778.82M","-0.51%"
"24-06-2018","28,291.70","28,836.40","28,880.50","27,726.15","898.93M","-1.87%"
"17-06-2018","28,829.45","29,237.50","29,271.55","28,450.80","699.84M","-1.32%"
"10-06-2018","29,215.65","29,412.90","29,671.70","29,138.70","852.60M","-0.36%"
"03-06-2018","29,320.60","29,091.85","29,328.60","28,259.65","887.56M","1.29%"
"27-05-2018","28,948.00","29,135.90","29,582.70","28,916.25","1.10B","-0.05%"
"20-05-2018","28,963.40","28,633.95","29,010.55","28,097.15","945.50M","1.27%"
"13-05-2018","28,600.70","29,360.60","29,478.25","28,549.35","912.42M","-2.35%"
"06-05-2018","29,288.65","29,821.85","30,026.05","29,151.30","673.88M","-1.40%"
"29-04-2018","29,703.95","30,610.10","30,817.40","29,681.35","533.85M","-2.65%"
"22-04-2018","30,513.40","30,263.95","30,592.65","30,241.85","756.39M","0.93%"
"15-04-2018","30,231.40","29,843.20","30,378.35","29,797.30","663.45M","0.95%"
"08-04-2018","29,946.45","29,996.65","30,146.75","29,868.70","693.84M","-0.15%"
"01-04-2018","29,991.55","28,718.90","30,019.10","28,635.05","767.22M","5.07%"
"25-03-2018","28,545.25","28,232.55","28,895.25","28,194.35","595.38M","1.26%"
"18-03-2018","28,189.90","28,729.05","28,741.45","27,892.35","856.77M","-1.60%"
"11-03-2018","28,647.60","28,514.35","29,035.75","28,278.20","1.06B","1.26%"
"04-03-2018","28,290.00","29,107.10","29,166.35","27,968.15","964.95M","-3.12%"
"25-02-2018","29,202.20","29,554.90","29,776.35","29,169.65","1.17B","-0.59%"
"18-02-2018","29,375.65","29,560.85","29,560.85","28,871.30","1.12B","-0.43%"
"11-02-2018","29,501.90","29,986.10","30,353.85","29,381.55","1.03B","-0.76%"
"04-02-2018","29,728.95","29,250.20","29,919.00","28,171.00","930.31M","0.24%"
"28-01-2018","29,656.45","31,132.00","31,239.50","29,454.20","884.51M","-4.37%"
"21-01-2018","31,013.10","31,207.25","31,700.55","30,949.05","827.21M","-0.49%"
"14-01-2018","31,165.65","31,783.15","31,888.20","30,653.35","731.62M","-1.70%"
"07-01-2018","31,704.85","31,764.90","31,990.80","31,382.70","726.80M","0.03%"
"31-12-2017","31,696.15","31,043.80","31,729.40","30,554.30","945.48M","2.36%"
"24-12-2017","30,964.65","30,860.75","31,058.40","30,641.20","648.02M","0.65%"
"17-12-2017","30,764.80","29,615.10","30,805.60","29,035.05","809.86M","3.38%"
"10-12-2017","29,759.70","30,149.20","30,176.15","29,232.80","557.95M","-0.81%"
"03-12-2017","30,001.70","29,583.95","30,060.25","29,188.75","608.76M","1.80%"
"26-11-2017","29,471.00","29,906.30","30,181.35","29,388.10","874.07M","-1.46%"
"19-11-2017","29,908.95","29,764.50","29,952.20","29,613.40","803.39M","0.52%"
"12-11-2017","29,754.60","29,713.65","29,846.20","28,890.45","839.35M","0.34%"
"05-11-2017","29,654.80","30,146.05","30,408.40","29,378.95","978.92M","-1.30%"
"29-10-2017","30,043.90","29,478.45","30,171.90","29,472.30","1.12B","2.34%"
"22-10-2017","29,355.70","28,614.80","29,475.65","28,569.75","1.42B","2.68%"
"15-10-2017","28,588.30","28,679.65","28,816.95","28,469.70","393.97K","0.04%"
"08-10-2017","28,575.45","28,267.95","28,668.20","28,051.05","494.87K","1.42%"
