"Date","Price","Open","High","Low","Vol.","Change %"
"20-06-2021","10,137.30","9,875.25","10,169.05","9,842.65","","1.33%"
"13-06-2021","10,004.40","10,259.70","10,316.30","9,792.25","","-2.51%"
"06-06-2021","10,262.40","10,044.80","10,315.55","10,021.85","","2.89%"
"30-05-2021","9,974.00","9,710.75","9,987.45","9,647.05","","3.09%"
"23-05-2021","9,675.45","9,617.65","9,741.85","9,559.25","","1.30%"
"16-05-2021","9,551.50","9,254.45","9,578.40","9,202.80","","3.95%"
"09-05-2021","9,188.35","9,306.60","9,438.95","9,158.55","","-0.66%"
"02-05-2021","9,249.65","9,080.50","9,336.90","9,048.85","","1.32%"
"25-04-2021","9,128.70","8,957.75","9,282.30","8,945.25","","2.65%"
"18-04-2021","8,892.85","8,767.80","8,966.50","8,647.50","","-0.99%"
"11-04-2021","8,982.10","9,103.10","9,104.45","8,695.90","","-2.80%"
"04-04-2021","9,240.75","9,123.60","9,298.95","8,879.55","","1.22%"
"28-03-2021","9,129.65","8,897.50","9,144.65","8,837.85","","3.72%"
"21-03-2021","8,802.25","8,871.50","9,019.55","8,586.90","","-0.62%"
"14-03-2021","8,857.30","9,190.40","9,193.50","8,543.75","","-3.14%"
"07-03-2021","9,144.40","9,179.80","9,264.60","9,032.85","","0.48%"
"28-02-2021","9,100.75","8,893.10","9,316.85","8,858.65","","3.23%"
"21-02-2021","8,816.05","8,764.55","8,932.65","8,591.30","","0.90%"
"14-02-2021","8,737.65","8,695.80","8,910.80","8,649.60","","1.06%"
"07-02-2021","8,646.00","8,520.30","8,690.40","8,518.45","","2.34%"
"31-01-2021","8,448.35","7,933.30","8,613.00","7,840.25","","7.17%"
"24-01-2021","7,883.40","8,244.50","8,271.40","7,845.50","","-3.29%"
"17-01-2021","8,151.20","8,251.70","8,426.50","8,017.60","","-1.16%"
"10-01-2021","8,246.85","8,404.65","8,446.60","8,177.40","","-1.22%"
"03-01-2021","8,349.10","8,017.55","8,367.90","7,958.90","","4.98%"
"27-12-2020","7,953.30","7,789.35","7,967.60","7,756.35","","2.84%"
"20-12-2020","7,733.60","7,812.40","7,823.65","7,264.35","","-1.25%"
"13-12-2020","7,831.75","7,746.40","7,914.15","7,689.65","","1.64%"
"06-12-2020","7,705.05","7,651.85","7,779.35","7,628.15","","1.04%"
"29-11-2020","7,625.90","7,524.25","7,667.05","7,481.10","","2.28%"
"22-11-2020","7,455.60","7,246.85","7,477.90","7,193.30","","3.62%"
"15-11-2020","7,194.85","6,991.55","7,246.10","6,957.10","","3.74%"
"08-11-2020","6,935.20","6,800.60","6,940.00","6,743.40","","2.77%"
"01-11-2020","6,748.45","6,521.80","6,772.25","6,473.70","","3.91%"
"25-10-2020","6,494.70","6,591.70","6,592.50","6,411.80","","-1.13%"
"18-10-2020","6,568.75","6,434.45","6,591.25","6,391.00","","2.70%"
"11-10-2020","6,396.00","6,522.10","6,544.65","6,319.40","","-1.64%"
"04-10-2020","6,502.45","6,564.45","6,581.80","6,494.20","","-0.42%"
"27-09-2020","6,530.10","6,374.60","6,556.25","6,366.85","","3.49%"
"20-09-2020","6,309.85","6,660.95","6,675.75","6,140.70","","-5.06%"
"13-09-2020","6,646.20","6,485.10","6,708.85","6,482.40","","3.72%"
"06-09-2020","6,408.05","6,480.95","6,500.45","6,221.20","","-0.80%"
"30-08-2020","6,459.85","6,657.40","6,670.90","6,315.00","","-2.26%"
"23-08-2020","6,609.40","6,490.55","6,636.80","6,488.00","","2.52%"
"16-08-2020","6,446.75","6,250.80","6,487.25","6,184.70","","3.99%"
"09-08-2020","6,199.30","6,161.80","6,298.10","6,120.85","","1.58%"
"02-08-2020","6,102.65","5,877.55","6,112.90","5,865.05","","4.02%"
"26-07-2020","5,866.70","5,896.85","5,923.65","5,805.50","","-0.22%"
"19-07-2020","5,879.35","5,819.40","5,904.60","5,817.40","","1.52%"
"12-07-2020","5,791.25","5,839.30","5,852.60","5,642.10","","-0.09%"
"05-07-2020","5,796.75","5,781.75","5,900.70","5,763.05","","1.00%"
"28-06-2020","5,739.35","5,714.00","5,755.05","5,602.30","","0.23%"
"21-06-2020","5,726.45","5,605.55","5,786.50","5,600.90","","3.12%"
"14-06-2020","5,553.35","5,434.35","5,554.85","5,320.50","","2.35%"
"07-06-2020","5,426.05","5,464.45","5,494.65","5,165.35","","0.75%"
"31-05-2020","5,385.65","5,120.50","5,391.10","5,118.65","","6.57%"
"24-05-2020","5,053.70","4,882.05","5,071.35","4,863.25","","4.22%"
"17-05-2020","4,849.00","4,967.00","4,967.45","4,747.75","","-2.00%"
"10-05-2020","4,948.05","4,942.80","5,058.55","4,827.10","","0.93%"
"03-05-2020","4,902.25","5,015.05","5,042.50","4,874.95","","-4.80%"
"26-04-2020","5,149.60","4,913.05","5,188.30","4,904.65","","5.98%"
"19-04-2020","4,859.25","5,034.55","5,067.15","4,796.00","","-2.39%"
"12-04-2020","4,978.15","4,823.35","5,036.35","4,676.20","","4.01%"
"05-04-2020","4,786.25","4,498.20","4,796.40","4,440.65","","9.97%"
"29-03-2020","4,352.35","4,407.70","4,510.30","4,337.15","","-3.05%"
"22-03-2020","4,489.05","4,381.10","4,693.20","4,088.05","","-6.29%"
"15-03-2020","4,790.30","5,305.50","5,345.15","4,418.70","","-12.93%"
"08-03-2020","5,501.75","6,002.60","6,019.05","4,795.25","","-10.33%"
"01-03-2020","6,135.45","6,351.55","6,416.90","5,987.35","","-2.24%"
"23-02-2020","6,276.00","6,713.85","6,713.85","6,219.55","","-6.86%"
"16-02-2020","6,738.10","6,703.55","6,765.20","6,529.60","","0.71%"
"09-02-2020","6,690.35","6,808.20","6,808.20","6,680.15","","-1.50%"
"02-02-2020","6,792.20","6,649.65","6,798.70","6,464.45","","1.96%"
"26-01-2020","6,661.75","6,726.30","6,794.10","6,645.60","","-1.20%"
"19-01-2020","6,742.45","6,678.40","6,753.35","6,598.80","","1.30%"
"12-01-2020","6,655.80","6,450.05","6,666.05","6,449.00","","3.63%"
